             c_cp             | c_estado 
 20317                        | AGU
 20318                        | AGU
 20319                        | AGU
 20320                        | AGU
 20321                        | AGU
 20322                        | AGU
 20323                        | AGU
 20324                        | AGU
 20325                        | AGU
 20326                        | AGU
 20327                        | AGU
 20328                        | AGU
 20329                        | AGU
 20330                        | AGU
 20331                        | AGU
 20332                        | AGU
 20333                        | AGU
 20334                        | AGU
 20335                        | AGU
 20336                        | AGU
 20337                        | AGU
 20338                        | AGU
 20339                        | AGU
 20340                        | AGU
 20341                        | AGU
 20342                        | AGU
 20343                        | AGU
 20344                        | AGU
 20345                        | AGU
 20346                        | AGU
 20347                        | AGU
 20348                        | AGU
 20349                        | AGU
 20350                        | AGU
 20351                        | AGU
 20352                        | AGU
 20353                        | AGU
 20354                        | AGU
 20355                        | AGU
 20356                        | AGU
 20357                        | AGU
 20358                        | AGU
 20359                        | AGU
 20360                        | AGU
 20361                        | AGU
 20362                        | AGU
 20363                        | AGU
 20364                        | AGU
 20365                        | AGU
 20366                        | AGU
 20367                        | AGU
 20368                        | AGU
 20369                        | AGU
 20370                        | AGU
 20371                        | AGU
 20372                        | AGU
 20373                        | AGU
 20374                        | AGU
 20375                        | AGU
 20376                        | AGU
 20377                        | AGU
 20378                        | AGU
 20379                        | AGU
 20380                        | AGU
 20381                        | AGU
 20382                        | AGU
 20383                        | AGU
 20384                        | AGU
 20385                        | AGU
 20386                        | AGU
 20387                        | AGU
 20388                        | AGU
 20389                        | AGU
 20390                        | AGU
 20391                        | AGU
 20392                        | AGU
 20393                        | AGU
 20394                        | AGU
 20395                        | AGU
 20396                        | AGU
 20397                        | AGU
 20398                        | AGU
 20399                        | AGU
 20400                        | AGU
 20401                        | AGU
 20402                        | AGU
 20403                        | AGU
 20404                        | AGU
 20405                        | AGU
 20406                        | AGU
 20407                        | AGU
 20408                        | AGU
 20409                        | AGU
 20410                        | AGU
 20411                        | AGU
 20412                        | AGU
 20413                        | AGU
 20414                        | AGU
 20415                        | AGU
 20416                        | AGU
 20417                        | AGU
 20418                        | AGU
 20419                        | AGU
 20420                        | AGU
 20421                        | AGU
 20422                        | AGU
 20423                        | AGU
 20424                        | AGU
 20425                        | AGU
 20426                        | AGU
 20427                        | AGU
 20428                        | AGU
 20429                        | AGU
 20430                        | AGU
 20431                        | AGU
 20432                        | AGU
 20433                        | AGU
 20434                        | AGU
 20435                        | AGU
 20436                        | AGU
 20437                        | AGU
 20438                        | AGU
 20439                        | AGU
 20440                        | AGU
 20441                        | AGU
 20442                        | AGU
 20443                        | AGU
 20444                        | AGU
 20445                        | AGU
 20446                        | AGU
 20447                        | AGU
 20448                        | AGU
 20449                        | AGU
 20450                        | AGU
 20451                        | AGU
 20452                        | AGU
 20453                        | AGU
 20454                        | AGU
 20455                        | AGU
 20456                        | AGU
 20457                        | AGU
 20458                        | AGU
 20459                        | AGU
 20460                        | AGU
 20461                        | AGU
 20462                        | AGU
 20463                        | AGU
 20464                        | AGU
 20465                        | AGU
 20466                        | AGU
 20467                        | AGU
 20468                        | AGU
 20469                        | AGU
 20470                        | AGU
 20471                        | AGU
 20472                        | AGU
 20473                        | AGU
 20474                        | AGU
 20475                        | AGU
 20476                        | AGU
 20477                        | AGU
 20478                        | AGU
 20479                        | AGU
 20480                        | AGU
 20481                        | AGU
