 c_localidad | c_estado |               descripcion               
           6 | OAX      | Heroica Ciudad de Huajuapan de León
           6 | PUE      | Teziutlan
           6 | ROO      | Kantunilkin
           6 | SIN      | Guamúchil
           6 | SLP      | Soledad de Graciano Sánchez
           6 | SON      | Heroica Guaymas
           6 | TAM      | Nuevo Laredo
           6 | TLA      | Chiautempan
           6 | VER      | Coatzacoalcos
           6 | YUC      | Kanasín
           6 | ZAC      | Ciudad Cuauhtémoc
           7 | AGU      | Asientos
           7 | BCN      | San Felipe
           7 | BCS      | Todos Santos
           7 | CAM      | Hopelchén
           7 | COA      | Sabinas
           7 | CHH      | Nuevo Casas Grandes
           7 | CHP      | Villaflores
           7 | CMX      | Ciudad de México
           7 | DUR      | Peñón Blanco
           7 | GRO      | Atoyac de Álvarez
           7 | GUA      | León de los Aldama
           7 | HID      | Zimapan
           7 | JAL      | San Juan de los Lagos
           7 | MEX      | Los Reyes Acaquilpan (La Paz)
           7 | MIC      | Pátzcuaro
           7 | MOR      | Zacatepec de Hidalgo
           7 | NAY      | Francisco I. Madero (Puga)
           7 | NLE      | Monterrey
           7 | OAX      | Loma Bonita
           7 | PUE      | San Andrés Cholula
           7 | ROO      | Isla Mujeres
           7 | SIN      | Navolato
           7 | SLP      | Charcas
           7 | SON      | Hermosillo
           7 | TAB      | Macuspana
           7 | TAM      | Reynosa
           7 | VER      | Córdoba
           7 | ZAC      | Ojocaliente
           8 | AGU      | Tepezalá
           8 | BCS      | Heroica Mulegé
           8 | CAM      | Champotón
           8 | COA      | Saltillo
           8 | CHP      | Las Margaritas
           8 | CMX      | Ciudad de México
           8 | DUR      | Francisco I. Madero
           8 | GUA      | Moroleón
           8 | HID      | Huejutla de Reyes
           8 | JAL      | Tepatitlán de Morelos
           8 | MEX      | Metepec
           8 | MIC      | Sahuayo de Morelos
           8 | MOR      | Tlaquiltenango
           8 | NAY      | Villa Hidalgo (El Nuevo)
           8 | NLE      | Ciudad Sabinas Hidalgo
           8 | OAX      | Puerto Escondido
           8 | PUE      | San Pedro Cholula
           8 | ROO      | Bacalar
           8 | SIN      | Quila
           8 | SLP      | Salinas de Hidalgo
           8 | SON      | Huatabampo
           8 | TAB      | Tenosique de Pino Suárez
           8 | TAM      | Ciudad Río Bravo
           8 | VER      | Tres Valles
           8 | ZAC      | Villa Hidalgo
           9 | AGU      | Cosío
           9 | BCS      | Villa Alberto Andrés Alvarado Arámburo
           9 | CAM      | Hecelchakán
           9 | COA      | Nueva Rosita
           9 | CHH      | Madera
           9 | CHP      | Arriaga
           9 | CMX      | Ciudad de México
           9 | DUR      | Nombre de Dios
           9 | GRO      | San Jerónimo de Juárez
           9 | GUA      | Salamanca
           9 | HID      | Tlaxcoapan
           9 | JAL      | Tlaquepaque
           9 | MEX      | Naucalpan de Juárez
           9 | MIC      | Uruapan
           9 | NAY      | Ruiz
           9 | NLE      | San Nicolás de los Garza
           9 | OAX      | Río Grande o Piedra Parada
           9 | PUE      | Huauchinango
           9 | SIN      | Ahome
           9 | SLP      | Cárdenas
           9 | SON      | Navojoa
           9 | TAB      | Teapa
           9 | TAM      | San Fernando
           9 | VER      | Jáltipan de Morelos
           9 | ZAC      | Villanueva
          10 | BCS      | San Ignacio
          10 | COA      | San Pedro
          10 | CHH      | Colonia Anáhuac
          10 | CHP      | Palenque
          10 | CMX      | Ciudad de México
          10 | DUR      | Vicente Guerrero
          10 | GRO      | Ciudad Apaxtla de Castrejón
          10 | GUA      | San Francisco del Rincón
          10 | HID      | Tizayuca
          10 | JAL      | Zapopan
          10 | MEX      | Ciudad Nezahualcoyotl
          10 | MIC      | Zacapu
          10 | NAY      | San Blas
          10 | NLE      | Ciudad Santa Catarina
          10 | PUE      | Acatlán de Osorio
          10 | SIN      | Higuera de Zaragoza
          10 | SLP      | Cerritos
          10 | SON      | Heroica Nogales
          10 | TAB      | Paraíso
          10 | TAM      | Tampico
          10 | VER      | Xalapa-Enríquez
          10 | ZAC      | Villa de Cos
          11 | BCS      | Guerrero Negro
          11 | CAM      | Pomuch
          11 | COA      | Torreón
          11 | CHH      | Juan Aldama
          11 | CHP      | Ocosingo
          11 | CMX      | Ciudad de México
          11 | DUR      | El Salto
          11 | GRO      | Ciudad Altamirano
          11 | GUA      | Silao
          11 | HID      | Santiago Tulantepec
          11 | JAL      | Tlajomulco de Zúñiga
          11 | MEX      | Villa Nicolás Romero
          11 | MIC      | Zamora de Hidalgo
          11 | NAY      | Ixtlán del Río
          11 | NLE      | Doctor Arroyo
          11 | OAX      | Santiago Suchilquitongo
          11 | PUE      | Cuautlancingo
          11 | SIN      | Choix
          11 | SLP      | Tamuín
          11 | SON      | Puerto Peñasco
          11 | TAB      | Frontera
          11 | TAM      | Ciudad Victoria
          11 | VER      | Minatitlán
          11 | ZAC      | Nochistlán de Mejía
          12 | BCS      | Santa Rosalía
          12 | COA      | Castaños
          12 | CHH      | José Mariano Jiménez
          12 | CHP      | Tonalá
          12 | CMX      | Ciudad de México
          12 | DUR      | Santa María del Oro
          12 | GRO      | Buenavista de Cuellar
          12 | GUA      | Jerécuaro
          12 | HID      | Ixmiquilpan
          12 | JAL      | Tonalá
          12 | MEX      | Tecamac de Felipe Villanueva
          12 | MIC      | Heroica Zitácuaro
          12 | NAY      | Bucerías
          12 | NLE      | Ciénega de Flores
