 c_municipio | c_estado |                    descripcion                    |       inicio        | fin 
 003         | SLP      | Aquismón                                          | 2022-01-01 00:00:00 | 
 003         | SON      | Alamos                                            | 2022-01-01 00:00:00 | 
 003         | TAB      | Centla                                            | 2022-01-01 00:00:00 | 
 003         | TAM      | Altamira                                          | 2022-01-01 00:00:00 | 
 003         | TLA      | Atlangatepec                                      | 2022-01-01 00:00:00 | 
 003         | VER      | Acayucan                                          | 2022-01-01 00:00:00 | 
 003         | YUC      | Akil                                              | 2022-01-01 00:00:00 | 
 003         | ZAC      | Atolinga                                          | 2022-01-01 00:00:00 | 
 004         | AGU      | Cosío                                             | 2022-01-01 00:00:00 | 
 004         | BCN      | Tijuana                                           | 2022-01-01 00:00:00 | 
 004         | CAM      | Champotón                                         | 2022-01-01 00:00:00 | 
 004         | COA      | Arteaga                                           | 2022-01-01 00:00:00 | 
 004         | COL      | Coquimatlán                                       | 2022-01-01 00:00:00 | 
 004         | CHH      | Aquiles Serdán                                    | 2022-01-01 00:00:00 | 
 004         | CHP      | Altamirano                                        | 2022-01-01 00:00:00 | 
 004         | CMX      | Cuajimalpa de Morelos                             | 2022-01-01 00:00:00 | 
 004         | DUR      | Cuencamé                                          | 2022-01-01 00:00:00 | 
 004         | GRO      | Alcozauca de Guerrero                             | 2022-01-01 00:00:00 | 
 004         | GUA      | Apaseo el Alto                                    | 2022-01-01 00:00:00 | 
 004         | HID      | Agua Blanca de Iturbide                           | 2022-01-01 00:00:00 | 
 004         | JAL      | Amacueca                                          | 2022-01-01 00:00:00 | 
 004         | MEX      | Almoloya de Alquisiras                            | 2022-01-01 00:00:00 | 
 004         | MIC      | Angamacutiro                                      | 2022-01-01 00:00:00 | 
 004         | MOR      | Ayala                                             | 2022-01-01 00:00:00 | 
 004         | NAY      | Compostela                                        | 2022-01-01 00:00:00 | 
 004         | NLE      | Allende                                           | 2022-01-01 00:00:00 | 
 004         | OAX      | Asunción Cuyotepeji                               | 2022-01-01 00:00:00 | 
 004         | PUE      | Acatzingo                                         | 2022-01-01 00:00:00 | 
 004         | QUE      | Cadereyta de Montes                               | 2022-01-01 00:00:00 | 
 004         | ROO      | Othón P. Blanco                                   | 2022-01-01 00:00:00 | 
 004         | SIN      | Concordia                                         | 2022-01-01 00:00:00 | 
 004         | SLP      | Armadillo de los Infante                          | 2022-01-01 00:00:00 | 
 004         | SON      | Altar                                             | 2022-01-01 00:00:00 | 
 004         | TAB      | Centro                                            | 2022-01-01 00:00:00 | 
 004         | TAM      | Antiguo Morelos                                   | 2022-01-01 00:00:00 | 
 004         | TLA      | Atltzayanca                                       | 2022-01-01 00:00:00 | 
 004         | VER      | Actopan                                           | 2022-01-01 00:00:00 | 
 004         | YUC      | Baca                                              | 2022-01-01 00:00:00 | 
 004         | ZAC      | Benito Juárez                                     | 2022-01-01 00:00:00 | 
 005         | AGU      | Jesús María                                       | 2022-01-01 00:00:00 | 
 005         | BCN      | Playas de Rosarito                                | 2022-01-01 00:00:00 | 
 005         | CAM      | Hecelchakán                                       | 2022-01-01 00:00:00 | 
 005         | COA      | Candela                                           | 2022-01-01 00:00:00 | 
 005         | COL      | Cuauhtémoc                                        | 2022-01-01 00:00:00 | 
 005         | CHH      | Ascensión                                         | 2022-01-01 00:00:00 | 
 005         | CHP      | Amatán                                            | 2022-01-01 00:00:00 | 
 005         | CMX      | Gustavo A. Madero                                 | 2022-01-01 00:00:00 | 
 005         | DUR      | Durango                                           | 2022-01-01 00:00:00 | 
 005         | GRO      | Alpoyeca                                          | 2022-01-01 00:00:00 | 
